Team,Player
SRH,"Travis Head"
SRH,"Abhishek Sharma"
SRH,"Heinrich Klassen"
SRH,"Nitish Reddy"
SRH,"Ishan Kishan"
SRH,"Mohammad Shami"
SRH,"Harshal Patel"
SRH,"Rahul Chahar"
SRH,"Adam Zampa"
SRH,"Atharva Taide"
SRH,"Abhinav Manohar"
SRH,"Simarjeet Singh"
SRH,"Zeeshan Ansari"
SRH,"Jaydev Unadkat"
SRH,"Kamindu Mendis"
SRH,"Aniket Verma"
SRH,"Eshan Malinga"
SRH,"Sachin Baby"
SRH,"Wiaan Mulder"
